Document-Frequency,'s,/,13,8819,accuraci,achiev,address,advantag,advent,alik,also,analys,analysi,appli,applic,approach,appropri,aspect,attitud,auc,augment,author,automat,avail,averag,base,bay,becom,best,blog,calcul,case,caus,challeng,charact,chosen,classif,classifi,cluster,combin,compani,compar,complic,compon,comput,concern,conclud,consist,contagi,crm,custom,data,determin,deviat,differ,difficult,disambigu,discov,discuss,diseas,domain,done,drastic,e-health,effect,effici,either,emot,encompass,ensembl,evalu,everi,evolv,exce,exist,experi,express,extract,fact,factor,fast,feel,find,focu,gener,given,got,guid,handl,handwritten,health,height,help,hidden,high,identifi,ie,imag,implement,improv,inappropri,inconsist,infer,inform,interconnect,intersect,involv,issu,javanes,label,languag,learn,length,leverag,lexicon,like,line,lot,machin,madicin,main,major,make,mani,manuscript,market,markov,measur,media,medic,method,metric,mine,model,naiv,necessit,need,neg,negat,network,new,next,normal,object,offer,often,one,oper,opinion,organ,outbreak,outlin,output,packag,page,paper,parti,pattern,peopl,perform,perpendicular,perspect,plu,polar,polit,politician,posit,predict,present,previou,primari,principl,problem,process,product,profit,propos,public,question,r,reach,real,recent,reduc,refer,regard,rel,relev,research,result,rich,risk,roc,script,segment,select,sens,sentiment,sentiwordnet,set,show,skew,slant,slope,social,standard,statist,straighten,structur,studi,style,success,sureti,task,techniqu,term,text,three,thu,time,touch,toward,tweet,twitter,two,understand,unseen,use,user,valu,variou,via,view,vote,way,web,websit,well,wide,width,word,world,write,’,
,1,1,2,2,3,1,1,1,1,1,1,2,2,2,1,3,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,3,1,1,2,2,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,1,1,3,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,3,1,2,1,2,1,2,1,1,1,2,3,2,1,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,2,2,2,1,2,1,2,2,1,1,1,1,1,1,4,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,3,1,1,3,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,3,2,1,2,1,2,1,1,4,1,2,1,1,1,1,3,1,1,2,1,2,1,1,2,1,





TF-IDF,'s,/,13,8819,accuraci,achiev,address,advantag,advent,alik,also,analys,analysi,appli,applic,approach,appropri,aspect,attitud,auc,augment,author,automat,avail,averag,base,bay,becom,best,blog,calcul,case,caus,challeng,charact,chosen,classif,classifi,cluster,combin,compani,compar,complic,compon,comput,concern,conclud,consist,contagi,crm,custom,data,determin,deviat,differ,difficult,disambigu,discov,discuss,diseas,domain,done,drastic,e-health,effect,effici,either,emot,encompass,ensembl,evalu,everi,evolv,exce,exist,experi,express,extract,fact,factor,fast,feel,find,focu,gener,given,got,guid,handl,handwritten,health,height,help,hidden,high,identifi,ie,imag,implement,improv,inappropri,inconsist,infer,inform,interconnect,intersect,involv,issu,javanes,label,languag,learn,length,leverag,lexicon,like,line,lot,machin,madicin,main,major,make,mani,manuscript,market,markov,measur,media,medic,method,metric,mine,model,naiv,necessit,need,neg,negat,network,new,next,normal,object,offer,often,one,oper,opinion,organ,outbreak,outlin,output,packag,page,paper,parti,pattern,peopl,perform,perpendicular,perspect,plu,polar,polit,politician,posit,predict,present,previou,primari,principl,problem,process,product,profit,propos,public,question,r,reach,real,recent,reduc,refer,regard,rel,relev,research,result,rich,risk,roc,script,segment,select,sens,sentiment,sentiwordnet,set,show,skew,slant,slope,social,standard,statist,straighten,structur,studi,style,success,sureti,task,techniqu,term,text,three,thu,time,touch,toward,tweet,twitter,two,understand,unseen,use,user,valu,variou,via,view,vote,way,web,websit,well,wide,width,word,world,write,’,
DOCUMENT 0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.28768207245178085,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.5753641449035617,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,2.772588722239781,0.0,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,5.545177444479562,0.0,0.0,0.0,0.6931471805599453,0.28768207245178085,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.0794415416798357,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.28768207245178085,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.5753641449035617,0.0,0.6931471805599453,0.0,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0.28768207245178085,1.3862943611198906,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,2.0794415416798357,1.3862943611198906,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5753641449035617,0.6931471805599453,1.3862943611198906,2.0794415416798357,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.28768207245178085,0.28768207245178085,0.0,0.0,0.28768207245178085,0.0,0.0,0.0,3.4657359027997265,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.28768207245178085,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.28768207245178085,0.0,0.0,0.6931471805599453,0.0,2.0794415416798357,0.0,0.0,0.6931471805599453,0.0,
DOCUMENT 1,0.0,0.0,0.6931471805599453,0.6931471805599453,0.28768207245178085,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.5753641449035617,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,2.772588722239781,0.0,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,5.545177444479562,0.0,0.0,0.0,0.6931471805599453,0.28768207245178085,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.0794415416798357,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.28768207245178085,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.5753641449035617,0.0,0.6931471805599453,0.0,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0.28768207245178085,1.3862943611198906,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,2.0794415416798357,1.3862943611198906,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5753641449035617,0.6931471805599453,1.3862943611198906,2.0794415416798357,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.28768207245178085,0.28768207245178085,0.0,0.0,0.28768207245178085,0.0,0.0,0.0,3.4657359027997265,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.28768207245178085,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.28768207245178085,0.0,0.0,0.6931471805599453,0.0,2.0794415416798357,0.0,0.0,0.6931471805599453,0.0,
DOCUMENT 2,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.0,0.0,3.4657359027997265,0.0,1.3862943611198906,0.0,0.0,1.3862943611198906,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772588722239781,0.0,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,4.852030263919617,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,4.1588830833596715,0.5753641449035617,1.3862943611198906,2.772588722239781,0.0,1.3862943611198906,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,0.0,1.3862943611198906,0.0,1.3862943611198906,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,2.772588722239781,0.0,2.772588722239781,0.0,0.0,0.0,0.28768207245178085,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,2.0794415416798357,0.0,1.3862943611198906,0.0,2.772588722239781,0.0,1.3862943611198906,2.0794415416798357,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,4.1588830833596715,5.545177444479562,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,8.317766166719343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.0,1.3862943611198906,2.772588722239781,0.0,0.0,2.772588722239781,0.6931471805599453,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.28768207245178085,0.28768207245178085,1.3862943611198906,2.772588722239781,0.0,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,6.931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,1.3862943611198906,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1.3862943611198906,0.0,0.0,2.772588722239781,0.0,6.931471805599453,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,4.1588830833596715,0.0,1.3862943611198906,0.0,0.0,1.3862943611198906,0.0,0.0,
DOCUMENT 3,0.0,0.0,0.0,0.0,0.5753641449035617,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,2.772588722239781,0.0,0.0,0.5753641449035617,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,1.3862943611198906,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,22.18070977791825,0.0,0.8630462173553426,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2.772588722239781,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,1.3862943611198906,0.0,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0,0.28768207245178085,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,2.772588722239781,1.3862943611198906,0.0,0.28768207245178085,0.0,0.0,0.0,1.3862943611198906,0.0,1.3862943611198906,0.0,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,2.772588722239781,0.6931471805599453,0.0,0.6931471805599453,1.3862943611198906,1.3862943611198906,2.772588722239781,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,0.28768207245178085,0.0,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,6.238324625039508,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,0.0,0.6931471805599453,1.3862943611198906,2.0794415416798357,0.28768207245178085,0.0,1.3862943611198906,2.0794415416798357,1.3862943611198906,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.28768207245178085,0.0,0.0,0.0,0.0,0.0,2.772588722239781,0.0,0.0,1.3862943611198906,






COSINUS SIMILARITY,,Rumus yang digunakan = document1.document2 / |document1|x|document2|


,Document1,Document2,Document3,Document4,
Document1,1.0,1.0,0.001563964066067807,0.004134960709291853,
Document2,1.0,1.0,0.001563964066067807,0.004134960709291853,
Document3,0.001563964066067807,0.001563964066067807,1.0000000000000002,0.05142406090848426,
Document4,0.004134960709291853,0.004134960709291853,0.05142406090848426,1.0,
